OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y
3866,S0335,Corcoran 2 Solar LLC CED,0,RWE Clean Energy,Kings,19.8,1,SUN,6/10/2015 12:00:00 AM,0,-119.567892971,36.137169611
3867,S0520,Corcoran 3 Solar,0,RWE Clean Energy,Kings,20,Unit 1,SUN,2/11/2016 12:00:00 AM,0,-119.579712248,36.144318942
3868,C0007,Hanford - Retired October 2011,1,Hanford LP,Kings,0,GEN 1,PC,9/1/1990 12:00:00 AM,0,-119.648391474,36.2696401320001
3869,G0832,Hanford Energy Park Peaker,0,"MRP San Joaquin Energy, LLC",Kings,92,"1, 2",NG,9/1/2001 12:00:00 AM,1,-119.647437264,36.270308115
3870,S0608,Exeter Solar,0,Altus Power,Tulare,3.5,ES,SUN,2/12/2014 12:00:00 AM,0,-119.128325036,36.2662977900001
3871,S0609,Lindsay Solar,0,Altus Power,Tulare,4,LS,SUN,1/15/2014 12:00:00 AM,0,-119.133999715,36.211778205
3872,S9325,ImModo California 1 LLC_(East Orosi 1),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-119.039943647,36.1037174300001
3873,S9326,ImModo California 1 LLC_(East Orosi 2),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-119.038789671,36.1016196
3874,S9327,ImModo California 1 LLC_(East Orosi 3),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-119.037347202,36.0997336240001
3875,S0151,Porterville Solar,0,Tulare PV I LLC,Tulare,3.5,PS,SUN,1/13/2014 12:00:00 AM,0,-119.03967096,36.1027803650001
3876,S0518,Sequoia PV3,0,CD Arevon USA Inc.,Tulare,3,Porterville6&7,SUN,8/1/2014 12:00:00 AM,0,-119.036763845,36.0988212250001
3877,H0525,Tule River,0,Southern California Edison (SCE),Tulare,2.52,"1, 2",WAT,9/1/1909 12:00:00 AM,0,-118.788821491,36.1356899370001
3878,H0523,Tule,0,Pacific Gas & Electric (PG&E),Tulare,8.5,"1, 2",WAT,1/1/1914 12:00:00 AM,0,-118.707093898,36.1630755570001
3879,H0216,Haiwee,0,Los Angeles Department of Water & Power (LADWP),Inyo,6.4,"Unit 1, Unit 2",WAT,7/1/1927 12:00:00 AM,0,-117.956825682,36.109953897
3880,S9163,CA Dept of Correctionns Salinas (SVSP),0,Not Available,Monterey,2,1,SUN,1/1/2013 12:00:00 AM,0,-121.369453077,36.4722828210001
3881,E0089,Soledad Energy - Retired Jan 2006,1,Soledad Energy LLC,Monterey,0,BBC 13.4,WDS,7/15/2000 12:00:00 AM,0,-121.315596887,36.416288643
3882,G0107,Taft 26C Cogeneration Plant,0,Chevron North America Exploration and Production,Kern,12.48,"TG1, TG2, TG3, TG4",NG,7/1/1982 12:00:00 AM,0,-119.475416334,35.115683184
